Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts
2018/04/17 07:30:00 PM,2018/04/17,19:30,2018,Tuesday,2018/04/18 09:34:00 AM,66087206244,660872,186092682,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Southern,,,,,,,,,,,,,,
2019/01/28 07:41:00 PM,2019/01/28,19:41,2019,Monday,2019/02/03 06:53:00 PM,76905971000,769059,196029073,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/08/29 04:44:00 PM,2018/08/29,16:44,2018,Wednesday,2018/08/29 04:44:00 PM,70860775025,708607,180641782,182413176,IS,Initial Supplement,,75025,Non-Criminal,Non-Criminal,Search Warrant Service,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/08/01 10:00:00 PM,2018/08/01,22:00,2018,Wednesday,2018/08/02 08:32:00 AM,69850806372,698508,186176587,,II,Coplogic Initial,true,06372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,,,Mission,,,,,,,,,,,,,,
2020/01/10 05:30:00 PM,2020/01/10,17:30,2020,Friday,2020/01/10 05:30:00 PM,89039363010,890393,190363324,,IS,Initial Supplement,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,,,Out of SF,,,,,,,,,,,,,,
2018/12/06 06:08:00 PM,2018/12/06,18:08,2018,Thursday,2018/12/06 06:08:00 PM,74545307041,745453,180899232,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
2022/07/02 08:30:00 AM,2022/07/02,08:30,2022,Saturday,2022/07/14 11:17:00 AM,117213371000,1172133,226121406,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2018/08/16 11:50:00 AM,2018/08/16,11:50,2018,Thursday,2018/08/19 03:56:00 AM,71128671000,711286,186202687,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Out of SF,,,,,,,,,,,,,,
2022/01/17 11:00:00 PM,2022/01/17,23:00,2022,Monday,2022/01/18 10:49:00 AM,111370806224,1113708,226007135,,II,Coplogic Initial,true,06224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,
2020/06/16 12:15:00 AM,2020/06/16,00:15,2020,Tuesday,2020/06/16 12:18:00 AM,93574207041,935742,200359302,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,
